|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0395](https://leetcode-cn.com/problems/longest-substring-with-at-least-k-repeating-characters)  |  [至少有K个重复字符的最长子串](leetcode/0300-0399/0395.Longest%20Substring%20with%20At%20Least%20K%20Repeating%20Characters/README.md)  |  `递归`,`分治算法`,`None`  |  中等  |    |
|  [0396](https://leetcode-cn.com/problems/rotate-function)  |  [旋转函数](leetcode/0300-0399/0396.Rotate%20Function/README.md)  |  `数学`  |  中等  |    |
|  [0397](https://leetcode-cn.com/problems/integer-replacement)  |  [整数替换](leetcode/0300-0399/0397.Integer%20Replacement/README.md)  |  `位运算`,`数学`  |  中等  |    |
|  [0398](https://leetcode-cn.com/problems/random-pick-index)  |  [随机数索引](leetcode/0300-0399/0398.Random%20Pick%20Index/README.md)  |  `蓄水池抽样`  |  中等  |    |
|  [0399](https://leetcode-cn.com/problems/evaluate-division)  |  [除法求值](leetcode/0300-0399/0399.Evaluate%20Division/README.md)  |  `并查集`,`图`  |  中等  |    |
|  [0400](https://leetcode-cn.com/problems/nth-digit)  |  [第N个数字](leetcode/0400-0499/0400.Nth%20Digit/README.md)  |  `数学`  |  中等  |    |
|  [0401](https://leetcode-cn.com/problems/binary-watch)  |  [二进制手表](leetcode/0400-0499/0401.Binary%20Watch/README.md)  |  `位运算`,`回溯算法`  |  简单  |    |
|  [0402](https://leetcode-cn.com/problems/remove-k-digits)  |  [移掉K位数字](leetcode/0400-0499/0402.Remove%20K%20Digits/README.md)  |  `栈`,`贪心算法`  |  中等  |    |
|  [0403](https://leetcode-cn.com/problems/frog-jump)  |  [青蛙过河](leetcode/0400-0499/0403.Frog%20Jump/README.md)  |  `动态规划`  |  困难  |    |
|  [0404](https://leetcode-cn.com/problems/sum-of-left-leaves)  |  [左叶子之和](leetcode/0400-0499/0404.Sum%20of%20Left%20Leaves/README.md)  |  `树`  |  简单  |    |
|  [0405](https://leetcode-cn.com/problems/convert-a-number-to-hexadecimal)  |  [数字转换为十六进制数](leetcode/0400-0499/0405.Convert%20a%20Number%20to%20Hexadecimal/README.md)  |  `位运算`  |  简单  |    |
|  [0406](https://leetcode-cn.com/problems/queue-reconstruction-by-height)  |  [根据身高重建队列](leetcode/0400-0499/0406.Queue%20Reconstruction%20by%20Height/README.md)  |  `贪心算法`  |  中等  |    |
|  [0407](https://leetcode-cn.com/problems/trapping-rain-water-ii)  |  [接雨水 II](leetcode/0400-0499/0407.Trapping%20Rain%20Water%20II/README.md)  |  `堆`,`广度优先搜索`  |  困难  |    |
|  [0408](https://leetcode-cn.com/problems/valid-word-abbreviation)  |  [有效单词缩写](leetcode/0400-0499/0408.Valid%20Word%20Abbreviation/README.md)  |  `字符串`  |  简单  |  🔒  |
|  [0409](https://leetcode-cn.com/problems/longest-palindrome)  |  [最长回文串](leetcode/0400-0499/0409.Longest%20Palindrome/README.md)  |  `哈希表`  |  简单  |    |
|  [0410](https://leetcode-cn.com/problems/split-array-largest-sum)  |  [分割数组的最大值](leetcode/0400-0499/0410.Split%20Array%20Largest%20Sum/README.md)  |  `二分查找`,`动态规划`  |  困难  |    |
|  [0411](https://leetcode-cn.com/problems/minimum-unique-word-abbreviation)  |  [最短特异单词缩写](leetcode/0400-0499/0411.Minimum%20Unique%20Word%20Abbreviation/README.md)  |  `位运算`,`回溯算法`  |  困难  |  🔒  |
|  [0412](https://leetcode-cn.com/problems/fizz-buzz)  |  [Fizz Buzz](leetcode/0400-0499/0412.Fizz%20Buzz/README.md)  |    |  简单  |    |
|  [0413](https://leetcode-cn.com/problems/arithmetic-slices)  |  [等差数列划分](leetcode/0400-0499/0413.Arithmetic%20Slices/README.md)  |  `数学`,`动态规划`  |  中等  |    |
|  [0414](https://leetcode-cn.com/problems/third-maximum-number)  |  [第三大的数](leetcode/0400-0499/0414.Third%20Maximum%20Number/README.md)  |  `数组`  |  简单  |    |
|  [0415](https://leetcode-cn.com/problems/add-strings)  |  [字符串相加](leetcode/0400-0499/0415.Add%20Strings/README.md)  |  `字符串`  |  简单  |    |
|  [0416](https://leetcode-cn.com/problems/partition-equal-subset-sum)  |  [分割等和子集](leetcode/0400-0499/0416.Partition%20Equal%20Subset%20Sum/README.md)  |  `动态规划`  |  中等  |    |
|  [0417](https://leetcode-cn.com/problems/pacific-atlantic-water-flow)  |  [太平洋大西洋水流问题](leetcode/0400-0499/0417.Pacific%20Atlantic%20Water%20Flow/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  中等  |    |
|  [0418](https://leetcode-cn.com/problems/sentence-screen-fitting)  |  [屏幕可显示句子的数量](leetcode/0400-0499/0418.Sentence%20Screen%20Fitting/README.md)  |  `动态规划`  |  中等  |  🔒  |
|  [0419](https://leetcode-cn.com/problems/battleships-in-a-board)  |  [甲板上的战舰](leetcode/0400-0499/0419.Battleships%20in%20a%20Board/README.md)  |    |  中等  |    |
|  [0420](https://leetcode-cn.com/problems/strong-password-checker)  |  [强密码检验器](leetcode/0400-0499/0420.Strong%20Password%20Checker/README.md)  |    |  困难  |    |
|  [0421](https://leetcode-cn.com/problems/maximum-xor-of-two-numbers-in-an-array)  |  [数组中两个数的最大异或值](leetcode/0400-0499/0421.Maximum%20XOR%20of%20Two%20Numbers%20in%20an%20Array/README.md)  |  `位运算`,`字典树`  |  中等  |    |
|  [0422](https://leetcode-cn.com/problems/valid-word-square)  |  [有效的单词方块](leetcode/0400-0499/0422.Valid%20Word%20Square/README.md)  |    |  简单  |  🔒  |
|  [0423](https://leetcode-cn.com/problems/reconstruct-original-digits-from-english)  |  [从英文中重建数字](leetcode/0400-0499/0423.Reconstruct%20Original%20Digits%20from%20English/README.md)  |  `数学`  |  中等  |    |
|  [0424](https://leetcode-cn.com/problems/longest-repeating-character-replacement)  |  [替换后的最长重复字符](leetcode/0400-0499/0424.Longest%20Repeating%20Character%20Replacement/README.md)  |  `双指针`,`None`  |  中等  |    |
|  [0425](https://leetcode-cn.com/problems/word-squares)  |  [单词方块](leetcode/0400-0499/0425.Word%20Squares/README.md)  |  `字典树`,`回溯算法`  |  困难  |  🔒  |
|  [0426](https://leetcode-cn.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list)  |  [将二叉搜索树转化为排序的双向链表](leetcode/0400-0499/0426.Convert%20Binary%20Search%20Tree%20to%20Sorted%20Doubly%20Linked%20List/README.md)  |  `树`,`链表`,`分治算法`  |  中等  |  🔒  |
|  [0427](https://leetcode-cn.com/problems/construct-quad-tree)  |  [建立四叉树](leetcode/0400-0499/0427.Construct%20Quad%20Tree/README.md)  |    |  中等  |    |
|  [0428](https://leetcode-cn.com/problems/serialize-and-deserialize-n-ary-tree)  |  [序列化和反序列化 N 叉树](leetcode/0400-0499/0428.Serialize%20and%20Deserialize%20N-ary%20Tree/README.md)  |  `树`  |  困难  |  🔒  |
|  [0429](https://leetcode-cn.com/problems/n-ary-tree-level-order-traversal)  |  [N 叉树的层序遍历](leetcode/0400-0499/0429.N-ary%20Tree%20Level%20Order%20Traversal/README.md)  |  `树`,`广度优先搜索`  |  中等  |    |
|  [0430](https://leetcode-cn.com/problems/flatten-a-multilevel-doubly-linked-list)  |  [扁平化多级双向链表](leetcode/0400-0499/0430.Flatten%20a%20Multilevel%20Doubly%20Linked%20List/README.md)  |  `深度优先搜索`,`链表`  |  中等  |    |
|  [0431](https://leetcode-cn.com/problems/encode-n-ary-tree-to-binary-tree)  |  [将 N 叉树编码为二叉树](leetcode/0400-0499/0431.Encode%20N-ary%20Tree%20to%20Binary%20Tree/README.md)  |  `树`  |  困难  |  🔒  |
|  [0432](https://leetcode-cn.com/problems/all-oone-data-structure)  |  [全 O(1) 的数据结构](leetcode/0400-0499/0432.All%20O%60one%20Data%20Structure/README.md)  |  `设计`  |  困难  |    |
|  [0433](https://leetcode-cn.com/problems/minimum-genetic-mutation)  |  [最小基因变化](leetcode/0400-0499/0433.Minimum%20Genetic%20Mutation/README.md)  |    |  中等  |    |
|  [0434](https://leetcode-cn.com/problems/number-of-segments-in-a-string)  |  [字符串中的单词数](leetcode/0400-0499/0434.Number%20of%20Segments%20in%20a%20String/README.md)  |  `字符串`  |  简单  |    |
|  [0435](https://leetcode-cn.com/problems/non-overlapping-intervals)  |  [无重叠区间](leetcode/0400-0499/0435.Non-overlapping%20Intervals/README.md)  |  `贪心算法`  |  中等  |    |
|  [0436](https://leetcode-cn.com/problems/find-right-interval)  |  [寻找右区间](leetcode/0400-0499/0436.Find%20Right%20Interval/README.md)  |  `二分查找`  |  中等  |    |
|  [0437](https://leetcode-cn.com/problems/path-sum-iii)  |  [路径总和 III](leetcode/0400-0499/0437.Path%20Sum%20III/README.md)  |  `树`  |  中等  |    |
|  [0438](https://leetcode-cn.com/problems/find-all-anagrams-in-a-string)  |  [找到字符串中所有字母异位词](leetcode/0400-0499/0438.Find%20All%20Anagrams%20in%20a%20String/README.md)  |  `哈希表`  |  中等  |    |
|  [0439](https://leetcode-cn.com/problems/ternary-expression-parser)  |  [三元表达式解析器](leetcode/0400-0499/0439.Ternary%20Expression%20Parser/README.md)  |  `栈`,`深度优先搜索`  |  中等  |  🔒  |
|  [0440](https://leetcode-cn.com/problems/k-th-smallest-in-lexicographical-order)  |  [字典序的第K小数字](leetcode/0400-0499/0440.K-th%20Smallest%20in%20Lexicographical%20Order/README.md)  |    |  困难  |    |
|  [0441](https://leetcode-cn.com/problems/arranging-coins)  |  [排列硬币](leetcode/0400-0499/0441.Arranging%20Coins/README.md)  |  `数学`,`二分查找`  |  简单  |    |
|  [0442](https://leetcode-cn.com/problems/find-all-duplicates-in-an-array)  |  [数组中重复的数据](leetcode/0400-0499/0442.Find%20All%20Duplicates%20in%20an%20Array/README.md)  |  `数组`  |  中等  |    |
|  [0443](https://leetcode-cn.com/problems/string-compression)  |  [压缩字符串](leetcode/0400-0499/0443.String%20Compression/README.md)  |  `字符串`  |  中等  |    |
|  [0444](https://leetcode-cn.com/problems/sequence-reconstruction)  |  [序列重建](leetcode/0400-0499/0444.Sequence%20Reconstruction/README.md)  |  `图`,`拓扑排序`  |  中等  |  🔒  |
|  [0445](https://leetcode-cn.com/problems/add-two-numbers-ii)  |  [两数相加 II](leetcode/0400-0499/0445.Add%20Two%20Numbers%20II/README.md)  |  `链表`  |  中等  |    |
|  [0446](https://leetcode-cn.com/problems/arithmetic-slices-ii-subsequence)  |  [等差数列划分 II - 子序列](leetcode/0400-0499/0446.Arithmetic%20Slices%20II%20-%20Subsequence/README.md)  |  `动态规划`  |  困难  |    |
|  [0447](https://leetcode-cn.com/problems/number-of-boomerangs)  |  [回旋镖的数量](leetcode/0400-0499/0447.Number%20of%20Boomerangs/README.md)  |  `哈希表`,`数学`  |  中等  |    |
|  [0448](https://leetcode-cn.com/problems/find-all-numbers-disappeared-in-an-array)  |  [找到所有数组中消失的数字](leetcode/0400-0499/0448.Find%20All%20Numbers%20Disappeared%20in%20an%20Array/README.md)  |  `数组`  |  简单  |    |
|  [0449](https://leetcode-cn.com/problems/serialize-and-deserialize-bst)  |  [序列化和反序列化二叉搜索树](leetcode/0400-0499/0449.Serialize%20and%20Deserialize%20BST/README.md)  |  `树`  |  中等  |    |
|  [0450](https://leetcode-cn.com/problems/delete-node-in-a-bst)  |  [删除二叉搜索树中的节点](leetcode/0400-0499/0450.Delete%20Node%20in%20a%20BST/README.md)  |  `树`  |  中等  |    |
|  [0451](https://leetcode-cn.com/problems/sort-characters-by-frequency)  |  [根据字符出现频率排序](leetcode/0400-0499/0451.Sort%20Characters%20By%20Frequency/README.md)  |  `堆`,`哈希表`  |  中等  |    |
|  [0452](https://leetcode-cn.com/problems/minimum-number-of-arrows-to-burst-balloons)  |  [用最少数量的箭引爆气球](leetcode/0400-0499/0452.Minimum%20Number%20of%20Arrows%20to%20Burst%20Balloons/README.md)  |  `贪心算法`,`排序`  |  中等  |    |
|  [0453](https://leetcode-cn.com/problems/minimum-moves-to-equal-array-elements)  |  [最小移动次数使数组元素相等](leetcode/0400-0499/0453.Minimum%20Moves%20to%20Equal%20Array%20Elements/README.md)  |  `数学`  |  简单  |    |
|  [0454](https://leetcode-cn.com/problems/4sum-ii)  |  [四数相加 II](leetcode/0400-0499/0454.4Sum%20II/README.md)  |  `哈希表`,`二分查找`  |  中等  |    |
|  [0455](https://leetcode-cn.com/problems/assign-cookies)  |  [分发饼干](leetcode/0400-0499/0455.Assign%20Cookies/README.md)  |  `贪心算法`  |  简单  |    |
|  [0456](https://leetcode-cn.com/problems/132-pattern)  |  [132模式](leetcode/0400-0499/0456.132%20Pattern/README.md)  |  `栈`  |  中等  |    |
|  [0457](https://leetcode-cn.com/problems/circular-array-loop)  |  [环形数组循环](leetcode/0400-0499/0457.Circular%20Array%20Loop/README.md)  |  `数组`,`双指针`  |  中等  |    |
|  [0458](https://leetcode-cn.com/problems/poor-pigs)  |  [可怜的小猪](leetcode/0400-0499/0458.Poor%20Pigs/README.md)  |  `数学`  |  困难  |    |
|  [0459](https://leetcode-cn.com/problems/repeated-substring-pattern)  |  [重复的子字符串](leetcode/0400-0499/0459.Repeated%20Substring%20Pattern/README.md)  |  `字符串`  |  简单  |    |
|  [0460](https://leetcode-cn.com/problems/lfu-cache)  |  [LFU 缓存](leetcode/0400-0499/0460.LFU%20Cache/README.md)  |  `设计`  |  困难  |    |
|  [0461](https://leetcode-cn.com/problems/hamming-distance)  |  [汉明距离](leetcode/0400-0499/0461.Hamming%20Distance/README.md)  |  `位运算`  |  简单  |    |
|  [0462](https://leetcode-cn.com/problems/minimum-moves-to-equal-array-elements-ii)  |  [最少移动次数使数组元素相等 II](leetcode/0400-0499/0462.Minimum%20Moves%20to%20Equal%20Array%20Elements%20II/README.md)  |  `数学`  |  中等  |    |
|  [0463](https://leetcode-cn.com/problems/island-perimeter)  |  [岛屿的周长](leetcode/0400-0499/0463.Island%20Perimeter/README.md)  |  `哈希表`  |  简单  |    |
|  [0464](https://leetcode-cn.com/problems/can-i-win)  |  [我能赢吗](leetcode/0400-0499/0464.Can%20I%20Win/README.md)  |  `极小化极大`,`动态规划`  |  中等  |    |
|  [0465](https://leetcode-cn.com/problems/optimal-account-balancing)  |  [最优账单平衡](leetcode/0400-0499/0465.Optimal%20Account%20Balancing/README.md)  |    |  困难  |  🔒  |
|  [0466](https://leetcode-cn.com/problems/count-the-repetitions)  |  [统计重复个数](leetcode/0400-0499/0466.Count%20The%20Repetitions/README.md)  |  `动态规划`  |  困难  |    |
|  [0467](https://leetcode-cn.com/problems/unique-substrings-in-wraparound-string)  |  [环绕字符串中唯一的子字符串](leetcode/0400-0499/0467.Unique%20Substrings%20in%20Wraparound%20String/README.md)  |  `动态规划`  |  中等  |    |
|  [0468](https://leetcode-cn.com/problems/validate-ip-address)  |  [验证IP地址](leetcode/0400-0499/0468.Validate%20IP%20Address/README.md)  |  `字符串`  |  中等  |    |
|  [0469](https://leetcode-cn.com/problems/convex-polygon)  |  [凸多边形](leetcode/0400-0499/0469.Convex%20Polygon/README.md)  |  `数学`  |  中等  |  🔒  |
|  [0470](https://leetcode-cn.com/problems/implement-rand10-using-rand7)  |  [用 Rand7() 实现 Rand10()](leetcode/0400-0499/0470.Implement%20Rand10%28%29%20Using%20Rand7%28%29/README.md)  |  `None`,`None`  |  中等  |    |
|  [0471](https://leetcode-cn.com/problems/encode-string-with-shortest-length)  |  [编码最短长度的字符串](leetcode/0400-0499/0471.Encode%20String%20with%20Shortest%20Length/README.md)  |  `动态规划`  |  困难  |  🔒  |
|  [0472](https://leetcode-cn.com/problems/concatenated-words)  |  [连接词](leetcode/0400-0499/0472.Concatenated%20Words/README.md)  |  `深度优先搜索`,`字典树`,`动态规划`  |  困难  |    |
|  [0473](https://leetcode-cn.com/problems/matchsticks-to-square)  |  [火柴拼正方形](leetcode/0400-0499/0473.Matchsticks%20to%20Square/README.md)  |  `深度优先搜索`  |  中等  |    |
|  [0474](https://leetcode-cn.com/problems/ones-and-zeroes)  |  [一和零](leetcode/0400-0499/0474.Ones%20and%20Zeroes/README.md)  |  `动态规划`  |  中等  |    |
|  [0475](https://leetcode-cn.com/problems/heaters)  |  [供暖器](leetcode/0400-0499/0475.Heaters/README.md)  |  `二分查找`  |  中等  |    |
|  [0476](https://leetcode-cn.com/problems/number-complement)  |  [数字的补数](leetcode/0400-0499/0476.Number%20Complement/README.md)  |  `位运算`  |  简单  |    |
|  [0477](https://leetcode-cn.com/problems/total-hamming-distance)  |  [汉明距离总和](leetcode/0400-0499/0477.Total%20Hamming%20Distance/README.md)  |  `位运算`  |  中等  |    |
|  [0478](https://leetcode-cn.com/problems/generate-random-point-in-a-circle)  |  [在圆内随机生成点](leetcode/0400-0499/0478.Generate%20Random%20Point%20in%20a%20Circle/README.md)  |  `数学`,`None`,`None`  |  中等  |    |
|  [0479](https://leetcode-cn.com/problems/largest-palindrome-product)  |  [最大回文数乘积](leetcode/0400-0499/0479.Largest%20Palindrome%20Product/README.md)  |    |  困难  |    |
|  [0480](https://leetcode-cn.com/problems/sliding-window-median)  |  [滑动窗口中位数](leetcode/0400-0499/0480.Sliding%20Window%20Median/README.md)  |  `None`  |  困难  |    |
|  [0481](https://leetcode-cn.com/problems/magical-string)  |  [神奇字符串](leetcode/0400-0499/0481.Magical%20String/README.md)  |    |  中等  |    |
|  [0482](https://leetcode-cn.com/problems/license-key-formatting)  |  [密钥格式化](leetcode/0400-0499/0482.License%20Key%20Formatting/README.md)  |    |  简单  |    |
|  [0483](https://leetcode-cn.com/problems/smallest-good-base)  |  [最小好进制](leetcode/0400-0499/0483.Smallest%20Good%20Base/README.md)  |  `数学`,`二分查找`  |  困难  |    |
|  [0484](https://leetcode-cn.com/problems/find-permutation)  |  [寻找排列](leetcode/0400-0499/0484.Find%20Permutation/README.md)  |  `贪心算法`  |  中等  |  🔒  |
|  [0485](https://leetcode-cn.com/problems/max-consecutive-ones)  |  [最大连续1的个数](leetcode/0400-0499/0485.Max%20Consecutive%20Ones/README.md)  |  `数组`  |  简单  |    |
|  [0486](https://leetcode-cn.com/problems/predict-the-winner)  |  [预测赢家](leetcode/0400-0499/0486.Predict%20the%20Winner/README.md)  |  `极小化极大`,`动态规划`  |  中等  |    |
|  [0487](https://leetcode-cn.com/problems/max-consecutive-ones-ii)  |  [最大连续1的个数 II](leetcode/0400-0499/0487.Max%20Consecutive%20Ones%20II/README.md)  |  `双指针`  |  中等  |  🔒  |
|  [0488](https://leetcode-cn.com/problems/zuma-game)  |  [祖玛游戏](leetcode/0400-0499/0488.Zuma%20Game/README.md)  |  `深度优先搜索`  |  困难  |    |
|  [0489](https://leetcode-cn.com/problems/robot-room-cleaner)  |  [扫地机器人](leetcode/0400-0499/0489.Robot%20Room%20Cleaner/README.md)  |  `深度优先搜索`  |  困难  |  🔒  |
|  [0490](https://leetcode-cn.com/problems/the-maze)  |  [迷宫](leetcode/0400-0499/0490.The%20Maze/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  中等  |  🔒  |
|  [0491](https://leetcode-cn.com/problems/increasing-subsequences)  |  [递增子序列](leetcode/0400-0499/0491.Increasing%20Subsequences/README.md)  |  `深度优先搜索`  |  中等  |    |
|  [0492](https://leetcode-cn.com/problems/construct-the-rectangle)  |  [构造矩形](leetcode/0400-0499/0492.Construct%20the%20Rectangle/README.md)  |  `数学`  |  简单  |    |
|  [0493](https://leetcode-cn.com/problems/reverse-pairs)  |  [翻转对](leetcode/0400-0499/0493.Reverse%20Pairs/README.md)  |  `排序`,`树状数组`,`线段树`,`二分查找`,`分治算法`  |  困难  |    |
|  [0494](https://leetcode-cn.com/problems/target-sum)  |  [目标和](leetcode/0400-0499/0494.Target%20Sum/README.md)  |  `深度优先搜索`,`动态规划`  |  中等  |    |
|  [0495](https://leetcode-cn.com/problems/teemo-attacking)  |  [提莫攻击](leetcode/0400-0499/0495.Teemo%20Attacking/README.md)  |  `数组`  |  中等  |    |
|  [0496](https://leetcode-cn.com/problems/next-greater-element-i)  |  [下一个更大元素 I](leetcode/0400-0499/0496.Next%20Greater%20Element%20I/README.md)  |  `栈`  |  简单  |    |
|  [0497](https://leetcode-cn.com/problems/random-point-in-non-overlapping-rectangles)  |  [非重叠矩形中的随机点](leetcode/0400-0499/0497.Random%20Point%20in%20Non-overlapping%20Rectangles/README.md)  |  `二分查找`,`None`  |  中等  |    |
|  [0498](https://leetcode-cn.com/problems/diagonal-traverse)  |  [对角线遍历](leetcode/0400-0499/0498.Diagonal%20Traverse/README.md)  |    |  中等  |    |
|  [0499](https://leetcode-cn.com/problems/the-maze-iii)  |  [迷宫 III](leetcode/0400-0499/0499.The%20Maze%20III/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  困难  |  🔒  |
|  [0500](https://leetcode-cn.com/problems/keyboard-row)  |  [键盘行](leetcode/0500-0599/0500.Keyboard%20Row/README.md)  |  `哈希表`  |  简单  |    |
|  [0501](https://leetcode-cn.com/problems/find-mode-in-binary-search-tree)  |  [二叉搜索树中的众数](leetcode/0500-0599/0501.Find%20Mode%20in%20Binary%20Search%20Tree/README.md)  |  `树`  |  简单  |    |
|  [0502](https://leetcode-cn.com/problems/ipo)  |  [IPO](leetcode/0500-0599/0502.IPO/README.md)  |  `堆`,`贪心算法`  |  困难  |    |
|  [0503](https://leetcode-cn.com/problems/next-greater-element-ii)  |  [下一个更大元素 II](leetcode/0500-0599/0503.Next%20Greater%20Element%20II/README.md)  |  `栈`  |  中等  |    |
|  [0504](https://leetcode-cn.com/problems/base-7)  |  [七进制数](leetcode/0500-0599/0504.Base%207/README.md)  |    |  简单  |    |
|  [0505](https://leetcode-cn.com/problems/the-maze-ii)  |  [迷宫 II](leetcode/0500-0599/0505.The%20Maze%20II/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  中等  |  🔒  |
|  [0506](https://leetcode-cn.com/problems/relative-ranks)  |  [相对名次](leetcode/0500-0599/0506.Relative%20Ranks/README.md)  |    |  简单  |    |
|  [0507](https://leetcode-cn.com/problems/perfect-number)  |  [完美数](leetcode/0500-0599/0507.Perfect%20Number/README.md)  |  `数学`  |  简单  |    |
|  [0508](https://leetcode-cn.com/problems/most-frequent-subtree-sum)  |  [出现次数最多的子树元素和](leetcode/0500-0599/0508.Most%20Frequent%20Subtree%20Sum/README.md)  |  `树`,`哈希表`  |  中等  |    |
|  [0509](https://leetcode-cn.com/problems/fibonacci-number)  |  [斐波那契数](leetcode/0500-0599/0509.Fibonacci%20Number/README.md)  |  `数组`  |  简单  |    |
|  [0510](https://leetcode-cn.com/problems/inorder-successor-in-bst-ii)  |  [二叉搜索树中的中序后继 II](leetcode/0500-0599/0510.Inorder%20Successor%20in%20BST%20II/README.md)  |  `树`  |  中等  |  🔒  |
|  [0511](https://leetcode-cn.com/problems/game-play-analysis-i)  |  [游戏玩法分析 I](leetcode/0500-0599/0511.Game%20Play%20Analysis%20I/README.md)  |    |  简单  |  🔒  |
|  [0512](https://leetcode-cn.com/problems/game-play-analysis-ii)  |  [游戏玩法分析 II](leetcode/0500-0599/0512.Game%20Play%20Analysis%20II/README.md)  |    |  简单  |  🔒  |
|  [0513](https://leetcode-cn.com/problems/find-bottom-left-tree-value)  |  [找树左下角的值](leetcode/0500-0599/0513.Find%20Bottom%20Left%20Tree%20Value/README.md)  |  `树`,`深度优先搜索`,`广度优先搜索`  |  中等  |    |
|  [0514](https://leetcode-cn.com/problems/freedom-trail)  |  [自由之路](leetcode/0500-0599/0514.Freedom%20Trail/README.md)  |  `深度优先搜索`,`分治算法`,`动态规划`  |  困难  |    |
|  [0515](https://leetcode-cn.com/problems/find-largest-value-in-each-tree-row)  |  [在每个树行中找最大值](leetcode/0500-0599/0515.Find%20Largest%20Value%20in%20Each%20Tree%20Row/README.md)  |  `树`,`深度优先搜索`,`广度优先搜索`  |  中等  |    |
|  [0516](https://leetcode-cn.com/problems/longest-palindromic-subsequence)  |  [最长回文子序列](leetcode/0500-0599/0516.Longest%20Palindromic%20Subsequence/README.md)  |  `动态规划`  |  中等  |    |
|  [0517](https://leetcode-cn.com/problems/super-washing-machines)  |  [超级洗衣机](leetcode/0500-0599/0517.Super%20Washing%20Machines/README.md)  |  `数学`,`动态规划`  |  困难  |    |
|  [0518](https://leetcode-cn.com/problems/coin-change-2)  |  [零钱兑换 II](leetcode/0500-0599/0518.Coin%20Change%202/README.md)  |    |  中等  |    |
|  [0519](https://leetcode-cn.com/problems/random-flip-matrix)  |  [随机翻转矩阵](leetcode/0500-0599/0519.Random%20Flip%20Matrix/README.md)  |  `None`  |  中等  |    |
|  [0520](https://leetcode-cn.com/problems/detect-capital)  |  [检测大写字母](leetcode/0500-0599/0520.Detect%20Capital/README.md)  |  `字符串`  |  简单  |    |
|  [0521](https://leetcode-cn.com/problems/longest-uncommon-subsequence-i)  |  [最长特殊序列 Ⅰ](leetcode/0500-0599/0521.Longest%20Uncommon%20Subsequence%20I/README.md)  |  `脑筋急转弯`,`字符串`  |  简单  |    |
|  [0522](https://leetcode-cn.com/problems/longest-uncommon-subsequence-ii)  |  [最长特殊序列 II](leetcode/0500-0599/0522.Longest%20Uncommon%20Subsequence%20II/README.md)  |  `字符串`  |  中等  |    |
|  [0523](https://leetcode-cn.com/problems/continuous-subarray-sum)  |  [连续的子数组和](leetcode/0500-0599/0523.Continuous%20Subarray%20Sum/README.md)  |  `数学`,`动态规划`  |  中等  |    |
|  [0524](https://leetcode-cn.com/problems/longest-word-in-dictionary-through-deleting)  |  [通过删除字母匹配到字典里最长单词](leetcode/0500-0599/0524.Longest%20Word%20in%20Dictionary%20through%20Deleting/README.md)  |  `排序`,`双指针`  |  中等  |    |
|  [0525](https://leetcode-cn.com/problems/contiguous-array)  |  [连续数组](leetcode/0500-0599/0525.Contiguous%20Array/README.md)  |  `哈希表`  |  中等  |    |
|  [0526](https://leetcode-cn.com/problems/beautiful-arrangement)  |  [优美的排列](leetcode/0500-0599/0526.Beautiful%20Arrangement/README.md)  |  `回溯算法`  |  中等  |    |
|  [0527](https://leetcode-cn.com/problems/word-abbreviation)  |  [单词缩写](leetcode/0500-0599/0527.Word%20Abbreviation/README.md)  |  `排序`,`字符串`  |  困难  |  🔒  |
|  [0528](https://leetcode-cn.com/problems/random-pick-with-weight)  |  [按权重随机选择](leetcode/0500-0599/0528.Random%20Pick%20with%20Weight/README.md)  |  `二分查找`,`None`  |  中等  |    |
|  [0529](https://leetcode-cn.com/problems/minesweeper)  |  [扫雷游戏](leetcode/0500-0599/0529.Minesweeper/README.md)  |  `深度优先搜索`,`广度优先搜索`  |  中等  |    |
|  [0530](https://leetcode-cn.com/problems/minimum-absolute-difference-in-bst)  |  [二叉搜索树的最小绝对差](leetcode/0500-0599/0530.Minimum%20Absolute%20Difference%20in%20BST/README.md)  |  `树`  |  简单  |    |
|  [0531](https://leetcode-cn.com/problems/lonely-pixel-i)  |  [孤独像素 I](leetcode/0500-0599/0531.Lonely%20Pixel%20I/README.md)  |  `深度优先搜索`,`数组`  |  中等  |  🔒  |
|  [0532](https://leetcode-cn.com/problems/k-diff-pairs-in-an-array)  |  [数组中的 k-diff 数对](leetcode/0500-0599/0532.K-diff%20Pairs%20in%20an%20Array/README.md)  |  `数组`,`双指针`  |  中等  |    |
|  [0533](https://leetcode-cn.com/problems/lonely-pixel-ii)  |  [孤独像素 II](leetcode/0500-0599/0533.Lonely%20Pixel%20II/README.md)  |  `深度优先搜索`,`数组`  |  中等  |  🔒  |
|  [0534](https://leetcode-cn.com/problems/game-play-analysis-iii)  |  [游戏玩法分析 III](leetcode/0500-0599/0534.Game%20Play%20Analysis%20III/README.md)  |    |  中等  |  🔒  |
